ele,x,y,z,flip
-1613.32996,-19.55857161,56.09746682,1185.14004,1613.32996
-1610.07996,-19.5406053,56.09746682,1188.39004,1610.07996
-1622.88,-19.522639,56.09746682,1175.59,1622.88
-1612.46997,-19.50467269,56.09746682,1186.00003,1612.46997
-1602.06995,-19.48670639,56.09746682,1196.40005,1602.06995
-1591.88,-19.46874008,56.09746682,1206.59,1591.88
-1567.81006,-19.45077378,56.09746682,1230.65994,1567.81006
-1548.47998,-19.43280747,56.09746682,1249.99002,1548.47998
-1541.15002,-19.41484117,56.09746682,1257.31998,1541.15002
-1517.66003,-19.39687486,56.09746682,1280.80997,1517.66003
-1502.91003,-19.37890855,56.09746682,1295.55997,1502.91003
-1482.41003,-19.36094225,56.09746682,1316.05997,1482.41003
-1473.35999,-19.34297594,56.09746682,1325.11001,1473.35999
-1456.93005,-19.32500964,56.09746682,1341.53995,1456.93005
-1457.65002,-19.30704333,56.09746682,1340.81998,1457.65002
-1453.13,-19.28907703,56.09746682,1345.34,1453.13
-1439.87,-19.27111072,56.09746682,1358.6,1439.87
-1431.04004,-19.25314441,56.09746682,1367.42996,1431.04004
-1425.30005,-19.23517811,56.09746682,1373.16995,1425.30005
-1421.21997,-19.2172118,56.09746682,1377.25003,1421.21997
-1416.69995,-19.1992455,56.09746682,1381.77005,1416.69995
-1412.70996,-19.18127919,56.09746682,1385.76004,1412.70996
-1411.04004,-19.16331289,56.09746682,1387.42996,1411.04004
-1408.81995,-19.14534658,56.09746682,1389.65005,1408.81995
-1407.73999,-19.12738027,56.09746682,1390.73001,1407.73999
-1401.71997,-19.10941397,56.09746682,1396.75003,1401.71997
-1392.62,-19.09144766,56.09746682,1405.85,1392.62
-1391.54004,-19.07348136,56.09746682,1406.92996,1391.54004
-1386.18994,-19.05551505,56.09746682,1412.28006,1386.18994
-1462.85999,-20.76231409,56.08493818,1335.61001,1462.85999
-1456.33997,-20.74434779,56.08493818,1342.13003,1456.33997
-1497.56995,-20.72638148,56.08493818,1300.90005,1497.56995
-1487.39001,-20.70841517,56.08493818,1311.07999,1487.39001
-1470.05005,-20.69044887,56.08493818,1328.41995,1470.05005
-1481.14001,-20.67248256,56.08493818,1317.32999,1481.14001
-1447.02002,-20.65451626,56.08493818,1351.44998,1447.02002
-1446.25,-20.63654995,56.08493818,1352.22,1446.25
-1450.64001,-20.61858365,56.08493818,1347.82999,1450.64001
-1448.92004,-20.60061734,56.08493818,1349.54996,1448.92004
-1446.43005,-20.58265103,56.08493818,1352.03995,1446.43005
-1444.80005,-20.56468473,56.08493818,1353.66995,1444.80005
-1448.29004,-20.54671842,56.08493818,1350.17996,1448.29004
-1459.45996,-20.52875212,56.08493818,1339.01004,1459.45996
-1469.38,-20.51078581,56.08493818,1329.09,1469.38
-1473.31006,-20.49281951,56.08493818,1325.15994,1473.31006
-1479.59998,-20.4748532,56.08493818,1318.87002,1479.59998
-1481.37,-20.45688689,56.08493818,1317.1,1481.37
-1487.20996,-20.43892059,56.08493818,1311.26004,1487.20996
-1494.27002,-20.42095428,56.08493818,1304.19998,1494.27002
-1497.89001,-20.40298798,56.08493818,1300.57999,1497.89001
-1496.97998,-20.38502167,56.08493818,1301.49002,1496.97998
-1499.60999,-20.36705537,56.08493818,1298.86001,1499.60999
-1502.45996,-20.34908906,56.08493818,1296.01004,1502.45996
-1501.45996,-20.33112275,56.08493818,1297.01004,1501.45996
-1496.07996,-20.31315645,56.08493818,1302.39004,1496.07996
-1494.63,-20.29519014,56.08493818,1303.84,1494.63
-1485.84998,-20.27722384,56.08493818,1312.62002,1485.84998
-1483.98999,-20.25925753,56.08493818,1314.48001,1483.98999
-1481.41003,-20.24129123,56.08493818,1317.05997,1481.41003
-1478.43005,-20.22332492,56.08493818,1320.03995,1478.43005
-1475.26001,-20.20535862,56.08493818,1323.20999,1475.26001
-1470.81995,-20.18739231,56.08493818,1327.65005,1470.81995
-1464.21997,-20.169426,56.08493818,1334.25003,1464.21997
-1463.07996,-20.1514597,56.08493818,1335.39004,1463.07996
-1461.08997,-20.13349339,56.08493818,1337.38003,1461.08997
-1463.31006,-20.11552709,56.08493818,1335.15994,1463.31006
-1470.72998,-20.09756078,56.08493818,1327.74002,1470.72998
-1461.37,-20.07959448,56.08493818,1337.1,1461.37
-1458.79004,-20.06162817,56.08493818,1339.67996,1458.79004
-1459.32996,-20.04366186,56.08493818,1339.14004,1459.32996
-1464.67004,-20.02569556,56.08493818,1333.79996,1464.67004
-1466.06995,-20.00772925,56.08493818,1332.40005,1466.06995
-1471.45996,-19.98976295,56.08493818,1327.01004,1471.45996
-1469.23999,-19.97179664,56.08493818,1329.23001,1469.23999
-1472.81006,-19.95383034,56.08493818,1325.65994,1472.81006
-1474.67004,-19.93586403,56.08493818,1323.79996,1474.67004
-1475.39001,-19.91789772,56.08493818,1323.07999,1475.39001
-1481.37,-19.89993142,56.08493818,1317.1,1481.37
-1481.95996,-19.88196511,56.08493818,1316.51004,1481.95996
-1485.93994,-19.86399881,56.08493818,1312.53006,1485.93994
-1488.69995,-19.8460325,56.08493818,1309.77005,1488.69995
-1492.58997,-19.8280662,56.08493818,1305.88003,1492.58997
-1492.37,-19.81009989,56.08493818,1306.1,1492.37
-1497.33997,-19.79213358,56.08493818,1301.13003,1497.33997
-1495.21997,-19.77416728,56.08493818,1303.25003,1495.21997
-1497.39001,-19.75620097,56.08493818,1301.07999,1497.39001
-1502.45996,-19.73823467,56.08493818,1296.01004,1502.45996
-1496.53003,-19.72026836,56.08493818,1301.93997,1496.53003
-1509.79004,-19.70230206,56.08493818,1288.67996,1509.79004
-1521.46997,-19.68433575,56.08493818,1277.00003,1521.46997
-1519.75,-19.66636944,56.08493818,1278.72,1519.75
-1517.34998,-19.64840314,56.08493818,1281.12002,1517.34998
-1529.93005,-19.63043683,56.08493818,1268.53995,1529.93005
-1553.51001,-19.61247053,56.08493818,1244.95999,1553.51001
-1576.85999,-19.59450422,56.08493818,1221.61001,1576.85999
-1605.59998,-19.57653792,56.08493818,1192.87002,1605.59998
-1623.06006,-19.55857161,56.08493818,1175.40994,1623.06006
-1621.03003,-19.5406053,56.08493818,1177.43997,1621.03003
-1610.43994,-19.522639,56.08493818,1188.03006,1610.43994
-1599.97998,-19.50467269,56.08493818,1198.49002,1599.97998
-1605.81995,-19.48670639,56.08493818,1192.65005,1605.81995
-1594.68994,-19.46874008,56.08493818,1203.78006,1594.68994
