FID,STATE_NM,COUNTY_NM,index,Slope,R,p,Id
314,INDIANA,LAWRENCE,INDIANA_LAWRENCE,1.81319457,0.729398879,1.27E-09,314
315,MICHIGAN,OAKLAND,MICHIGAN_OAKLAND,2.031576563,0.832298562,4.60E-12,315
316,WISCONSIN,JUNEAU,WISCONSIN_JUNEAU,1.565824298,0.805913544,5.71E-13,316
317,INDIANA,WELLS,INDIANA_WELLS,1.863489796,0.785056406,2.44E-11,317
318,ILLINOIS,POPE,ILLINOIS_POPE,1.900468137,0.702066881,1.55E-07,318
319,MICHIGAN,ALGER,MICHIGAN_ALGER,2.587362637,0.602951605,0.029158675,319
320,NEBRASKA,BLAINE,NEBRASKA_BLAINE,1.645923345,0.847538005,2.76E-12,320
321,MICHIGAN,ANTRIM,MICHIGAN_ANTRIM,1.046577243,0.693770118,6.42E-08,321
322,IOWA,CLINTON,IOWA_CLINTON,2.235550243,0.862581268,2.07E-16,322
323,MICHIGAN,WEXFORD,MICHIGAN_WEXFORD,1.210854147,0.715042878,2.37E-08,323
324,MICHIGAN,ALPENA,MICHIGAN_ALPENA,1.255773756,0.759379017,1.05E-10,324
325,MICHIGAN,LENAWEE,MICHIGAN_LENAWEE,1.798540084,0.848842961,1.89E-15,325
326,WISCONSIN,FOND DU LAC,WISCONSIN_FOND DU LAC,2.043895671,0.898735126,1.56E-19,326
327,MICHIGAN,MIDLAND,MICHIGAN_MIDLAND,2.068316742,0.935781177,7.91E-24,327
328,KANSAS,OSBORNE,KANSAS_OSBORNE,0.175895571,0.128637345,0.383556838,328
329,KANSAS,ROOKS,KANSAS_ROOKS,-0.356743756,-0.208230476,0.164924849,329
330,NEBRASKA,CUMING,NEBRASKA_CUMING,2.814377188,0.888656438,1.48E-18,330
331,INDIANA,HUNTINGTON,INDIANA_HUNTINGTON,1.748941176,0.793830877,3.68E-12,331
332,INDIANA,BLACKFORD,INDIANA_BLACKFORD,1.886298643,0.825988089,8.60E-14,332
333,SOUTH DAKOTA,MOODY,SOUTH DAKOTA_MOODY,2.898612245,0.929845641,1.77E-22,333
334,IOWA,CEDAR,IOWA_CEDAR,2.011739093,0.81908482,1.16E-13,334
335,INDIANA,MIAMI,INDIANA_MIAMI,1.711054022,0.834244829,5.30E-14,335
336,OHIO,LOGAN,OHIO_LOGAN,1.822679928,0.831189058,2.40E-14,336
337,INDIANA,TIPTON,INDIANA_TIPTON,2.10055067,0.885574066,2.82E-18,337
338,IOWA,LOUISA,IOWA_LOUISA,1.835896013,0.768856906,2.81E-11,338
339,IOWA,TAYLOR,IOWA_TAYLOR,1.977873303,0.786354067,8.03E-12,339
340,WISCONSIN,MARQUETTE,WISCONSIN_MARQUETTE,1.182262443,0.727668326,1.46E-09,340
341,KANSAS,DECATUR,KANSAS_DECATUR,-0.531870883,-0.334383752,0.024764755,341
342,KANSAS,LANE,KANSAS_LANE,0.467167019,0.281510681,0.064139549,342
343,MINNESOTA,YELLOW MEDICINE,MINNESOTA_YELLOW MEDICINE,2.51641629,0.891619191,1.74E-18,343
344,KANSAS,NORTON,KANSAS_NORTON,-0.943135705,-0.585271806,2.41E-05,344
345,MINNESOTA,ROSEAU,MINNESOTA_ROSEAU,1.98870259,0.835359368,2.84E-13,345
346,WISCONSIN,BARRON,WISCONSIN_BARRON,1.673371468,0.830656862,2.58E-14,346
347,MINNESOTA,OTTER TAIL,MINNESOTA_OTTER TAIL,2.577640229,0.919409316,6.63E-22,347
348,WISCONSIN,SHAWANO,WISCONSIN_SHAWANO,1.590506275,0.856454411,5.71E-16,348
349,MICHIGAN,ST CLAIR,MICHIGAN_ST CLAIR,1.896981986,0.92341919,1.94E-22,349
350,IOWA,LUCAS,IOWA_LUCAS,1.542704082,0.650121941,4.29E-07,350
351,MINNESOTA,SIBLEY,MINNESOTA_SIBLEY,2.218799624,0.860475307,2.95E-16,351
352,MINNESOTA,PINE,MINNESOTA_PINE,1.702732293,0.826250407,1.49E-13,352
353,MINNESOTA,JACKSON,MINNESOTA_JACKSON,2.115457184,0.864645701,1.45E-16,353
354,KANSAS,WILSON,KANSAS_WILSON,1.1039819,0.60755739,2.27E-06,354
355,WISCONSIN,SHEBOYGAN,WISCONSIN_SHEBOYGAN,1.797946726,0.894063628,4.55E-19,355
356,SOUTH DAKOTA,POTTER,SOUTH DAKOTA_POTTER,1.952841629,0.869548966,1.25E-16,356
357,INDIANA,BROWN,INDIANA_BROWN,1.261473607,0.45601968,0.008712884,357
358,INDIANA,DAVIESS,INDIANA_DAVIESS,1.982843849,0.792376528,2.60E-12,358
359,INDIANA,ORANGE,INDIANA_ORANGE,2.044156066,0.729024492,8.89E-10,359
360,OHIO,HURON,OHIO_HURON,1.690678733,0.846379789,5.21E-15,360
361,MINNESOTA,STEVENS,MINNESOTA_STEVENS,2.578156749,0.910212024,8.85E-21,361
362,IOWA,CALHOUN,IOWA_CALHOUN,1.966584137,0.843878658,3.99E-15,362
363,NEBRASKA,DAWSON,NEBRASKA_DAWSON,2.046708283,0.932170737,8.08E-23,363
364,IOWA,KOSSUTH,IOWA_KOSSUTH,1.912144626,0.874780432,2.35E-17,364
365,KANSAS,SUMNER,KANSAS_SUMNER,0.682633484,0.423325189,0.001967129,365
366,MICHIGAN,VAN BUREN,MICHIGAN_VAN BUREN,1.996275054,0.83135698,8.48E-13,366
367,MINNESOTA,CARVER,MINNESOTA_CARVER,2.20199778,0.853874229,8.63E-16,367
